review_id,author,recommendation,stars,confirmed,date,content,advantages,disadvantages
12978734,h...d,Polecam,5/5,Tak,2020-08-19 22:56:10,"Jak na razie grill był w użyciu dwa razy i nic mu nie można zarzucić. Brykiety szybko się nagrzewają i produkty szybko się grillują. Obawiałam się trochę tej zawieszanej pokrywy bez zawiasów, ale po wypróbowaniu stwierdzam, że jest ok. Grill wygląda estetycznie i w zupełności wystarcza na potrzeby 3-osobowej rodziny, ale poradziłby sobie także z większą ilością. Kupiłam go do domku letniskowego, ale chyba przemyślę zakup tego modelu także do domu mieszkalnego. Generalnie dobra jakość za przystępną cenę.","['cieszący oko wygląd', 'jakość', 'satysfakcjonujący rozmiar', 'solidne wykonanie', 'stabilny', 'wygląd']",[]
4580167,Klara Anna,Polecam,5/5,Tak,2017-04-18 15:08:03,"Kupując grilla kierowałam się przede wszystkim jakością oraz rozmiarami (nie grillujemy zaciekle i z pasją :) , raczej okazjonalnie i amatorsko). Jakość spełnia moje oczekiwania-już na pierwszy rzut oka widać, że jest to produkt z wyższej półki. A rozmiar - nie chciałam zagracać balkonu zimą zaś piwnicy.  Jednym słowem - oczekiwania spełnione.","['cieszący oko wygląd', 'niewielki rozmiar', 'stabilny']",[]
12456010,k...e,Polecam,5/5,Tak,2020-05-18 20:37:29,"Świetny grill, doskonale wykonany, solidny i trwały - przeciwieństwie do chińskich jednosezonówek. Pierwsi w rodzinie mieli go teście, przeszedł 5 sezonów i nie widać zużycia. Drugi kupiłem znajomemu na 30 urodziny, używa go bardzo często a mimo to po trzech sezonach dalej wygląda świetnie. Kiedy więc przyszła kolej na zakup grilla dla siebie nie miałem wątpliwości jaki wybiorę.",[],[]
12773105,n...z,Polecam,5/5,Tak,2020-07-08 11:42:47,"Świetny, mam w domu od kilku lat, wygląda jak nowy. W dodatku jetd bardzo ekonomiczny- wsypuje sie tylko 1 miarkę brykietów a grzeje jak szalony. Teraz  kupiłam 2 takie grille do domów letniskowych-do tego ochraniacze i zamierzam cieszyć się nimi przez lata (poprzednie, marki „krzak” były do wyrzucenia po 2 sezonach!).","['bardzo  mocno się nagrzewa', 'drogi', 'jakość', 'satysfakcjonujący rozmiar', 'solidne wykonanie', 'stabilny', 'trwałość', 'wygląd']",[]
12497299,c...i,Polecam,4/5,Tak,2020-05-22 16:53:00,"Produkt jakościowo bardzo dobrze wykonany. Wygląd bardzo ładny. W dostawie nie było elementów nr 18, 19, 20, 21 pokazanych w ramce na stronie 2 ""Instrukcji montażu- WEBER COMPACT KETTLE Assemble Guide"". Funkcji produktu jeszcze nie sprawdziłem.","['jakość', 'satysfakcjonujący rozmiar', 'solidne wykonanie', 'wygląd']",[]
4757699,Jerzy,Polecam,5/5,Tak,2017-06-14 10:40:34,"Ze wzgledu na jakosc i marke zamowilem wlasnie Weber Compact Kettle 47Cm (1221004) bo wiem ,ze bedziemi i mojej rodzinie sluzyl przez lata bo nie naeidze kupowac bubli jakich wiele w roznego rodzaju sklepow",[],[]
17774461,s...k,Polecam,5/5,Tak,2023-08-04 15:25:28,"Bardzo dobra jakość wykonania, rozmiar w sam raz dla 4-osobowej rodziny a nawet na imprezę z niedużą liczbą gości. Przy kompletnym braku doświadczenia w grillowaniu wszystko upieczone jak należy.","['jakość', 'satysfakcjonujący rozmiar', 'solidne wykonanie', 'wygląd']",[]
10627669,Olga,Polecam,5/5,Tak,2019-06-06 23:07:31,"Grill stabilny, mocny, solidny. Wizualnie również same pozytywy, oby sprawował się równie pięknie.","['jakość', 'satysfakcjonujący rozmiar', 'stabilny', 'trwałość', 'wygląd']",[]
11006961,Dagmara,Polecam,5/5,Tak,2019-09-05 12:33:55,"Grilla kupiliśmy na prezent. Myślę, że spełni oczekiwania obdarowanego. Osobiście używam Weber Spirit E-320 Premium GBS i jestem zachwycona.",[],[]
18644897,o...s,Polecam,5/5,Tak,2024-05-14 07:55:02,"Cóż pisać... Przy wyborze grilla nie było wątpliwości, że WEBER! Bardzo dobry grill przy stosunkowo niskiej cenie.","['cieszący oko wygląd', 'ciężki', 'stabilny', 'masywny', 'jakość', 'satysfakcjonujący rozmiar', 'solidne wykonanie', 'stabilny', 'trwałość', 'wygląd']",[]
Brak ID,El a,Brak rekomendacji,Brak oceny,Nie,2018-02-10 14:31:06,Waszym zdaniem warto kupić ten model?,[],[]
Brak ID,Ola,Brak rekomendacji,Brak oceny,Nie,2018-02-10 14:30:54,Czy uchwyty w grillu się nagrzewają?,[],[]
Brak ID,Olek,Brak rekomendacji,Brak oceny,Nie,2018-02-10 14:30:37,Jakie są dokładne wymiary grilla?,[],[]
Brak ID,Marek,Brak rekomendacji,Brak oceny,Nie,2018-02-10 14:30:16,Jak oceniacie jakość wykonania tego modelu?,[],[]
12978734,h...d,Polecam,5/5,Tak,2020-08-19 22:56:10,"Jak na razie grill był w użyciu dwa razy i nic mu nie można zarzucić. Brykiety szybko się nagrzewają i produkty szybko się grillują. Obawiałam się trochę tej zawieszanej pokrywy bez zawiasów, ale po wypróbowaniu stwierdzam, że jest ok. Grill wygląda estetycznie i w zupełności wystarcza na potrzeby 3-osobowej rodziny, ale poradziłby sobie także z większą ilością. Kupiłam go do domku letniskowego, ale chyba przemyślę zakup tego modelu także do domu mieszkalnego. Generalnie dobra jakość za przystępną cenę.","['cieszący oko wygląd', 'jakość', 'satysfakcjonujący rozmiar', 'solidne wykonanie', 'stabilny', 'wygląd']",[]
4580167,Klara Anna,Polecam,5/5,Tak,2017-04-18 15:08:03,"Kupując grilla kierowałam się przede wszystkim jakością oraz rozmiarami (nie grillujemy zaciekle i z pasją :) , raczej okazjonalnie i amatorsko). Jakość spełnia moje oczekiwania-już na pierwszy rzut oka widać, że jest to produkt z wyższej półki. A rozmiar - nie chciałam zagracać balkonu zimą zaś piwnicy.  Jednym słowem - oczekiwania spełnione.","['cieszący oko wygląd', 'niewielki rozmiar', 'stabilny']",[]
12456010,k...e,Polecam,5/5,Tak,2020-05-18 20:37:29,"Świetny grill, doskonale wykonany, solidny i trwały - przeciwieństwie do chińskich jednosezonówek. Pierwsi w rodzinie mieli go teście, przeszedł 5 sezonów i nie widać zużycia. Drugi kupiłem znajomemu na 30 urodziny, używa go bardzo często a mimo to po trzech sezonach dalej wygląda świetnie. Kiedy więc przyszła kolej na zakup grilla dla siebie nie miałem wątpliwości jaki wybiorę.",[],[]
